Region,Area,Year,Month,Dwelling_Type,kwh_per_acc
North East Region,Ang Mo Kio,2011,5,1-room / 2-room,166.0
North East Region,Ang Mo Kio,2011,5,Landed Properties,1023.0
North East Region,Ang Mo Kio,2011,5,Private Apartments and Condominiums,604.5
North East Region,Ang Mo Kio,2011,6,1-room / 2-room,171.6
North East Region,Ang Mo Kio,2011,6,Landed Properties,977.5
North East Region,Ang Mo Kio,2011,6,Private Apartments and Condominiums,594.2
North East Region,Ang Mo Kio,2011,7,1-room / 2-room,166.4
North East Region,Ang Mo Kio,2011,7,Landed Properties,888.3
North East Region,Ang Mo Kio,2011,7,Private Apartments and Condominiums,574.3
North East Region,Ang Mo Kio,2011,8,1-room / 2-room,176.4
North East Region,Ang Mo Kio,2011,8,Landed Properties,1031.5
North East Region,Ang Mo Kio,2011,8,Private Apartments and Condominiums,648.6
North East Region,Ang Mo Kio,2011,9,1-room / 2-room,169.0
North East Region,Ang Mo Kio,2011,9,Landed Properties,940.9
North East Region,Ang Mo Kio,2011,9,Private Apartments and Condominiums,544.7
North East Region,Ang Mo Kio,2011,10,1-room / 2-room,162.7
North East Region,Ang Mo Kio,2011,10,Landed Properties,981.8
North East Region,Ang Mo Kio,2011,10,Private Apartments and Condominiums,571.9
North East Region,Ang Mo Kio,2011,11,1-room / 2-room,159.2
North East Region,Ang Mo Kio,2011,11,Landed Properties,829.9
North East Region,Ang Mo Kio,2011,11,Private Apartments and Condominiums,480.9
North East Region,Ang Mo Kio,2011,12,1-room / 2-room,154.6
North East Region,Ang Mo Kio,2011,12,Landed Properties,898.7
North East Region,Ang Mo Kio,2011,12,Private Apartments and Condominiums,549.8
North East Region,Ang Mo Kio,2012,1,1-room / 2-room,153.8
North East Region,Ang Mo Kio,2012,1,Landed Properties,831.8
North East Region,Ang Mo Kio,2012,1,Private Apartments and Condominiums,474.5
North East Region,Ang Mo Kio,2012,2,1-room / 2-room,149.9
North East Region,Ang Mo Kio,2012,2,Landed Properties,927.3
North East Region,Ang Mo Kio,2012,2,Private Apartments and Condominiums,470.7
North East Region,Ang Mo Kio,2012,3,1-room / 2-room,151.4
North East Region,Ang Mo Kio,2012,3,Landed Properties,864.0
North East Region,Ang Mo Kio,2012,3,Private Apartments and Condominiums,499.6
North East Region,Ang Mo Kio,2012,4,1-room / 2-room,160.9
North East Region,Ang Mo Kio,2012,4,Landed Properties,906.4
North East Region,Ang Mo Kio,2012,4,Private Apartments and Condominiums,498.3
North East Region,Ang Mo Kio,2012,5,1-room / 2-room,161.6
North East Region,Ang Mo Kio,2012,5,Landed Properties,945.3
North East Region,Ang Mo Kio,2012,5,Private Apartments and Condominiums,517.7
North East Region,Ang Mo Kio,2012,6,1-room / 2-room,173.1
North East Region,Ang Mo Kio,2012,6,Landed Properties,948.2
North East Region,Ang Mo Kio,2012,6,Private Apartments and Condominiums,520.4
North East Region,Ang Mo Kio,2012,7,1-room / 2-room,166.8
North East Region,Ang Mo Kio,2012,7,Landed Properties,945.1
North East Region,Ang Mo Kio,2012,7,Private Apartments and Condominiums,547.0
North East Region,Ang Mo Kio,2012,8,1-room / 2-room,167.2
North East Region,Ang Mo Kio,2012,8,Landed Properties,1092.6
North East Region,Ang Mo Kio,2012,8,Private Apartments and Condominiums,601.3
North East Region,Ang Mo Kio,2012,9,1-room / 2-room,168.1
North East Region,Ang Mo Kio,2012,9,Landed Properties,880.7
North East Region,Ang Mo Kio,2012,9,Private Apartments and Condominiums,492.5
North East Region,Ang Mo Kio,2012,10,1-room / 2-room,156.6
North East Region,Ang Mo Kio,2012,10,Landed Properties,1022.1
North East Region,Ang Mo Kio,2012,10,Private Apartments and Condominiums,567.8
North East Region,Ang Mo Kio,2012,11,1-room / 2-room,158.6
North East Region,Ang Mo Kio,2012,11,Landed Properties,834.3
North East Region,Ang Mo Kio,2012,11,Private Apartments and Condominiums,470.9
North East Region,Ang Mo Kio,2012,12,1-room / 2-room,159.8
North East Region,Ang Mo Kio,2012,12,Landed Properties,904.1
North East Region,Ang Mo Kio,2012,12,Private Apartments and Condominiums,521.9
North East Region,Ang Mo Kio,2013,1,1-room / 2-room,155.9
North East Region,Ang Mo Kio,2013,1,Landed Properties,788.4
North East Region,Ang Mo Kio,2013,1,Private Apartments and Condominiums,462.9
North East Region,Ang Mo Kio,2013,2,1-room / 2-room,153.0
North East Region,Ang Mo Kio,2013,2,Landed Properties,828.5
North East Region,Ang Mo Kio,2013,2,Private Apartments and Condominiums,467.9
North East Region,Ang Mo Kio,2013,3,1-room / 2-room,143.0
North East Region,Ang Mo Kio,2013,3,Landed Properties,831.6
North East Region,Ang Mo Kio,2013,3,Private Apartments and Condominiums,464.8
North East Region,Ang Mo Kio,2013,4,1-room / 2-room,166.5
North East Region,Ang Mo Kio,2013,4,Landed Properties,965.8
North East Region,Ang Mo Kio,2013,4,Private Apartments and Condominiums,567.9
North East Region,Ang Mo Kio,2013,5,1-room / 2-room,174.2
North East Region,Ang Mo Kio,2013,5,Landed Properties,999.4
North East Region,Ang Mo Kio,2013,5,Private Apartments and Condominiums,610.7
North East Region,Ang Mo Kio,2013,6,1-room / 2-room,174.9
North East Region,Ang Mo Kio,2013,6,Landed Properties,991.5
North East Region,Ang Mo Kio,2013,6,Private Apartments and Condominiums,587.9
North East Region,Ang Mo Kio,2013,7,1-room / 2-room,176.0
North East Region,Ang Mo Kio,2013,7,Landed Properties,951.9
North East Region,Ang Mo Kio,2013,7,Private Apartments and Condominiums,585.1
North East Region,Ang Mo Kio,2013,8,1-room / 2-room,178.6
North East Region,Ang Mo Kio,2013,8,Landed Properties,1002.4
North East Region,Ang Mo Kio,2013,8,Private Apartments and Condominiums,601.0
North East Region,Ang Mo Kio,2013,9,1-room / 2-room,164.3
North East Region,Ang Mo Kio,2013,9,Landed Properties,870.9
North East Region,Ang Mo Kio,2013,9,Private Apartments and Condominiums,492.8
North East Region,Ang Mo Kio,2013,10,1-room / 2-room,161.9
North East Region,Ang Mo Kio,2013,10,Landed Properties,1018.3
North East Region,Ang Mo Kio,2013,10,Private Apartments and Condominiums,655.8
North East Region,Ang Mo Kio,2013,11,1-room / 2-room,166.5
North East Region,Ang Mo Kio,2013,11,Landed Properties,826.2
North East Region,Ang Mo Kio,2013,11,Private Apartments and Condominiums,490.3
North East Region,Ang Mo Kio,2013,12,1-room / 2-room,160.8
North East Region,Ang Mo Kio,2013,12,Landed Properties,977.1
North East Region,Ang Mo Kio,2013,12,Private Apartments and Condominiums,491.5
North East Region,Ang Mo Kio,2014,1,1-room / 2-room,156.5
North East Region,Ang Mo Kio,2014,1,Landed Properties,746.8
North East Region,Ang Mo Kio,2014,1,Private Apartments and Condominiums,376.4
North East Region,Ang Mo Kio,2014,2,1-room / 2-room,155.8
North East Region,Ang Mo Kio,2014,2,Landed Properties,861.1
North East Region,Ang Mo Kio,2014,2,Private Apartments and Condominiums,418.8
North East Region,Ang Mo Kio,2014,3,1-room / 2-room,145.2
North East Region,Ang Mo Kio,2014,3,Landed Properties,889.0
North East Region,Ang Mo Kio,2014,3,Private Apartments and Condominiums,481.2
North East Region,Ang Mo Kio,2014,4,1-room / 2-room,160.5
North East Region,Ang Mo Kio,2014,4,Landed Properties,1140.7
North East Region,Ang Mo Kio,2014,4,Private Apartments and Condominiums,539.1
North East Region,Ang Mo Kio,2014,5,1-room / 2-room,180.4
North East Region,Ang Mo Kio,2014,5,Landed Properties,960.7
North East Region,Ang Mo Kio,2014,5,Private Apartments and Condominiums,554.6
North East Region,Ang Mo Kio,2014,6,1-room / 2-room,181.8
North East Region,Ang Mo Kio,2014,6,Landed Properties,997.4
North East Region,Ang Mo Kio,2014,6,Private Apartments and Condominiums,575.2
North East Region,Ang Mo Kio,2014,7,1-room / 2-room,176.5
North East Region,Ang Mo Kio,2014,7,Landed Properties,1022.1
North East Region,Ang Mo Kio,2014,7,Private Apartments and Condominiums,576.7
North East Region,Ang Mo Kio,2014,8,1-room / 2-room,183.6
North East Region,Ang Mo Kio,2014,8,Landed Properties,1070.0
North East Region,Ang Mo Kio,2014,8,Private Apartments and Condominiums,599.2
North East Region,Ang Mo Kio,2014,9,1-room / 2-room,171.6
North East Region,Ang Mo Kio,2014,9,Landed Properties,867.3
North East Region,Ang Mo Kio,2014,9,Private Apartments and Condominiums,485.8
North East Region,Ang Mo Kio,2014,10,1-room / 2-room,167.8
North East Region,Ang Mo Kio,2014,10,Landed Properties,968.9
North East Region,Ang Mo Kio,2014,10,Private Apartments and Condominiums,542.9
North East Region,Ang Mo Kio,2014,11,1-room / 2-room,171.7
North East Region,Ang Mo Kio,2014,11,Landed Properties,885.9
North East Region,Ang Mo Kio,2014,11,Private Apartments and Condominiums,517.0
North East Region,Ang Mo Kio,2014,12,1-room / 2-room,171.9
North East Region,Ang Mo Kio,2014,12,Landed Properties,1009.9
North East Region,Ang Mo Kio,2014,12,Private Apartments and Condominiums,579.3
North East Region,Ang Mo Kio,2015,1,1-room / 2-room,152.2
North East Region,Ang Mo Kio,2015,1,Landed Properties,735.5
North East Region,Ang Mo Kio,2015,1,Private Apartments and Condominiums,403.1
North East Region,Ang Mo Kio,2015,2,1-room / 2-room,154.1
North East Region,Ang Mo Kio,2015,2,Landed Properties,821.6
North East Region,Ang Mo Kio,2015,2,Private Apartments and Condominiums,446.8
North East Region,Ang Mo Kio,2015,3,1-room / 2-room,151.0
North East Region,Ang Mo Kio,2015,3,Landed Properties,925.2
North East Region,Ang Mo Kio,2015,3,Private Apartments and Condominiums,503.9
North East Region,Ang Mo Kio,2015,4,1-room / 2-room,165.9
North East Region,Ang Mo Kio,2015,4,Landed Properties,1071.3
North East Region,Ang Mo Kio,2015,4,Private Apartments and Condominiums,518.0
North East Region,Ang Mo Kio,2015,5,1-room / 2-room,169.9
North East Region,Ang Mo Kio,2015,5,Landed Properties,899.6
North East Region,Ang Mo Kio,2015,5,Private Apartments and Condominiums,545.3
North East Region,Ang Mo Kio,2015,6,1-room / 2-room,182.1
North East Region,Ang Mo Kio,2015,6,Landed Properties,989.6
North East Region,Ang Mo Kio,2015,6,Private Apartments and Condominiums,581.9
North East Region,Ang Mo Kio,2015,7,1-room / 2-room,177.6
North East Region,Ang Mo Kio,2015,7,Landed Properties,1051.3
North East Region,Ang Mo Kio,2015,7,Private Apartments and Condominiums,603.2
North East Region,Ang Mo Kio,2015,8,1-room / 2-room,186.5
North East Region,Ang Mo Kio,2015,8,Landed Properties,1041.0
North East Region,Ang Mo Kio,2015,8,Private Apartments and Condominiums,609.2
North East Region,Ang Mo Kio,2015,9,1-room / 2-room,180.3
North East Region,Ang Mo Kio,2015,9,Landed Properties,975.4
North East Region,Ang Mo Kio,2015,9,Private Apartments and Condominiums,581.9
North East Region,Ang Mo Kio,2015,10,1-room / 2-room,180.1
North East Region,Ang Mo Kio,2015,10,Landed Properties,1068.9
North East Region,Ang Mo Kio,2015,10,Private Apartments and Condominiums,586.3
North East Region,Ang Mo Kio,2015,11,1-room / 2-room,181.8
North East Region,Ang Mo Kio,2015,11,Landed Properties,965.7
North East Region,Ang Mo Kio,2015,11,Private Apartments and Condominiums,563.4
North East Region,Ang Mo Kio,2015,12,1-room / 2-room,169.3
North East Region,Ang Mo Kio,2015,12,Landed Properties,1239.9
North East Region,Ang Mo Kio,2015,12,Private Apartments and Condominiums,587.0
North East Region,Ang Mo Kio,2016,1,1-room / 2-room,163.6
North East Region,Ang Mo Kio,2016,1,Landed Properties,805.2
North East Region,Ang Mo Kio,2016,1,Private Apartments and Condominiums,451.8
North East Region,Ang Mo Kio,2016,2,1-room / 2-room,173.2
North East Region,Ang Mo Kio,2016,2,Landed Properties,939.9
North East Region,Ang Mo Kio,2016,2,Private Apartments and Condominiums,521.7
North East Region,Ang Mo Kio,2016,3,1-room / 2-room,157.7
North East Region,Ang Mo Kio,2016,3,Landed Properties,999.3
North East Region,Ang Mo Kio,2016,3,Private Apartments and Condominiums,547.3
North East Region,Ang Mo Kio,2016,4,1-room / 2-room,174.4
North East Region,Ang Mo Kio,2016,4,5-room and Executive,484.8
North East Region,Ang Mo Kio,2016,4,Landed Properties,965.9
North East Region,Ang Mo Kio,2016,4,Private Apartments and Condominiums,583.6
North East Region,Ang Mo Kio,2016,5,1-room / 2-room,188.4
North East Region,Ang Mo Kio,2016,5,5-room and Executive,511.2
North East Region,Ang Mo Kio,2016,5,Landed Properties,1060.7
North East Region,Ang Mo Kio,2016,5,Private Apartments and Condominiums,619.8
North East Region,Ang Mo Kio,2016,6,1-room / 2-room,188.7
North East Region,Ang Mo Kio,2016,6,5-room and Executive,499.9
North East Region,Ang Mo Kio,2016,6,Landed Properties,1045.7
North East Region,Ang Mo Kio,2016,6,Private Apartments and Condominiums,616.2
North East Region,Ang Mo Kio,2016,7,1-room / 2-room,179.1
North East Region,Ang Mo Kio,2016,7,5-room and Executive,471.1
North East Region,Ang Mo Kio,2016,7,Landed Properties,884.5
North East Region,Ang Mo Kio,2016,7,Private Apartments and Condominiums,546.8
North East Region,Ang Mo Kio,2016,8,1-room / 2-room,187.9
North East Region,Ang Mo Kio,2016,8,5-room and Executive,502.9
North East Region,Ang Mo Kio,2016,8,Landed Properties,1034.6
North East Region,Ang Mo Kio,2016,8,Private Apartments and Condominiums,600.6
North East Region,Ang Mo Kio,2016,9,1-room / 2-room,177.2
North East Region,Ang Mo Kio,2016,9,5-room and Executive,465.0
North East Region,Ang Mo Kio,2016,9,Landed Properties,971.9
North East Region,Ang Mo Kio,2016,9,Private Apartments and Condominiums,566.6
North East Region,Ang Mo Kio,2016,10,1-room / 2-room,174.0
North East Region,Ang Mo Kio,2016,10,Landed Properties,1034.6
North East Region,Ang Mo Kio,2016,10,Private Apartments and Condominiums,572.1
North East Region,Ang Mo Kio,2016,11,1-room / 2-room,182.6
North East Region,Ang Mo Kio,2016,11,Landed Properties,884.0
North East Region,Ang Mo Kio,2016,11,Private Apartments and Condominiums,502.3
North East Region,Ang Mo Kio,2016,12,1-room / 2-room,168.0
North East Region,Ang Mo Kio,2016,12,Landed Properties,939.9
North East Region,Ang Mo Kio,2016,12,Private Apartments and Condominiums,519.3
North East Region,Ang Mo Kio,2017,1,1-room / 2-room,168.4
North East Region,Ang Mo Kio,2017,1,5-room and Executive,417.4
North East Region,Ang Mo Kio,2017,1,Landed Properties,804.7
North East Region,Ang Mo Kio,2017,1,Private Apartments and Condominiums,473.2
North East Region,Ang Mo Kio,2017,2,1-room / 2-room,166.2
North East Region,Ang Mo Kio,2017,2,5-room and Executive,397.9
North East Region,Ang Mo Kio,2017,2,Landed Properties,1036.8
North East Region,Ang Mo Kio,2017,2,Private Apartments and Condominiums,546.2
North East Region,Ang Mo Kio,2017,3,1-room / 2-room,150.2
North East Region,Ang Mo Kio,2017,3,5-room and Executive,363.6
North East Region,Ang Mo Kio,2017,3,Landed Properties,790.0
North East Region,Ang Mo Kio,2017,3,Private Apartments and Condominiums,460.5
North East Region,Ang Mo Kio,2017,4,1-room / 2-room,166.5
North East Region,Ang Mo Kio,2017,4,5-room and Executive,407.7
North East Region,Ang Mo Kio,2017,4,Landed Properties,871.0
North East Region,Ang Mo Kio,2017,4,Private Apartments and Condominiums,497.7
North East Region,Ang Mo Kio,2017,5,1-room / 2-room,179.8
North East Region,Ang Mo Kio,2017,5,5-room and Executive,442.5
North East Region,Ang Mo Kio,2017,5,Landed Properties,982.4
North East Region,Ang Mo Kio,2017,5,Private Apartments and Condominiums,572.8
North East Region,Ang Mo Kio,2017,6,1-room / 2-room,178.6
North East Region,Ang Mo Kio,2017,6,5-room and Executive,490.7
North East Region,Ang Mo Kio,2017,6,Landed Properties,978.9
North East Region,Ang Mo Kio,2017,6,Private Apartments and Condominiums,549.8
North East Region,Ang Mo Kio,2017,7,1-room / 2-room,223.3
North East Region,Ang Mo Kio,2017,7,5-room and Executive,658.6
North East Region,Ang Mo Kio,2017,7,Landed Properties,1207.2
North East Region,Ang Mo Kio,2017,7,Private Apartments and Condominiums,711.3
North East Region,Ang Mo Kio,2017,8,1-room / 2-room,175.5
North East Region,Ang Mo Kio,2017,8,5-room and Executive,434.5
North East Region,Ang Mo Kio,2017,8,Landed Properties,958.4
North East Region,Ang Mo Kio,2017,8,Private Apartments and Condominiums,536.2
North East Region,Ang Mo Kio,2017,9,1-room / 2-room,158.0
North East Region,Ang Mo Kio,2017,9,5-room and Executive,413.6
North East Region,Ang Mo Kio,2017,9,Landed Properties,942.7
North East Region,Ang Mo Kio,2017,9,Private Apartments and Condominiums,536.7
North East Region,Ang Mo Kio,2017,10,1-room / 2-room,176.4
North East Region,Ang Mo Kio,2017,10,5-room and Executive,441.7
North East Region,Ang Mo Kio,2017,10,Landed Properties,1036.8
North East Region,Ang Mo Kio,2017,10,Private Apartments and Condominiums,526.5
North East Region,Ang Mo Kio,2017,11,1-room / 2-room,175.4
North East Region,Ang Mo Kio,2017,11,5-room and Executive,431.3
North East Region,Ang Mo Kio,2017,11,Landed Properties,805.3
North East Region,Ang Mo Kio,2017,11,Private Apartments and Condominiums,427.2
North East Region,Ang Mo Kio,2017,12,1-room / 2-room,163.0
North East Region,Ang Mo Kio,2017,12,5-room and Executive,402.0
North East Region,Ang Mo Kio,2017,12,Landed Properties,919.1
North East Region,Ang Mo Kio,2017,12,Private Apartments and Condominiums,444.2
North East Region,Ang Mo Kio,2018,1,1-room / 2-room,156.3
North East Region,Ang Mo Kio,2018,1,3-room,245.1
North East Region,Ang Mo Kio,2018,1,4-room,319.8
North East Region,Ang Mo Kio,2018,1,5-room and Executive,387.2
North East Region,Ang Mo Kio,2018,1,Landed Properties,733.9
North East Region,Ang Mo Kio,2018,1,Private Apartments and Condominiums,368.3
North East Region,Ang Mo Kio,2018,2,1-room / 2-room,149.0
North East Region,Ang Mo Kio,2018,2,3-room,221.3
North East Region,Ang Mo Kio,2018,2,4-room,293.0
North East Region,Ang Mo Kio,2018,2,5-room and Executive,348.7
North East Region,Ang Mo Kio,2018,2,Landed Properties,750.4
North East Region,Ang Mo Kio,2018,2,Private Apartments and Condominiums,370.3
North East Region,Ang Mo Kio,2018,3,1-room / 2-room,145.0
North East Region,Ang Mo Kio,2018,3,3-room,234.1
North East Region,Ang Mo Kio,2018,3,4-room,305.0
North East Region,Ang Mo Kio,2018,3,5-room and Executive,363.9
North East Region,Ang Mo Kio,2018,3,Landed Properties,857.2
North East Region,Ang Mo Kio,2018,3,Private Apartments and Condominiums,448.1
North East Region,Ang Mo Kio,2018,4,1-room / 2-room,165.1
North East Region,Ang Mo Kio,2018,4,3-room,272.5
North East Region,Ang Mo Kio,2018,4,4-room,358.9
North East Region,Ang Mo Kio,2018,4,5-room and Executive,428.8
North East Region,Ang Mo Kio,2018,4,Landed Properties,875.9
North East Region,Ang Mo Kio,2018,4,Private Apartments and Condominiums,472.7
North East Region,Ang Mo Kio,2018,5,1-room / 2-room,168.0
North East Region,Ang Mo Kio,2018,5,3-room,270.7
North East Region,Ang Mo Kio,2018,5,4-room,355.4
North East Region,Ang Mo Kio,2018,5,5-room and Executive,427.4
North East Region,Ang Mo Kio,2018,5,Landed Properties,874.4
North East Region,Ang Mo Kio,2018,5,Private Apartments and Condominiums,518.7
North East Region,Ang Mo Kio,2018,6,1-room / 2-room,182.2
North East Region,Ang Mo Kio,2018,6,3-room,295.9
North East Region,Ang Mo Kio,2018,6,4-room,388.2
North East Region,Ang Mo Kio,2018,6,5-room and Executive,465.5
North East Region,Ang Mo Kio,2018,6,Landed Properties,843.9
North East Region,Ang Mo Kio,2018,6,Private Apartments and Condominiums,493.2
North East Region,Ang Mo Kio,2018,7,1-room / 2-room,165.9
North East Region,Ang Mo Kio,2018,7,3-room,266.4
North East Region,Ang Mo Kio,2018,7,4-room,352.7
North East Region,Ang Mo Kio,2018,7,5-room and Executive,421.8
North East Region,Ang Mo Kio,2018,7,Landed Properties,862.1
North East Region,Ang Mo Kio,2018,7,Private Apartments and Condominiums,465.0
North East Region,Ang Mo Kio,2018,8,1-room / 2-room,166.1
North East Region,Ang Mo Kio,2018,8,3-room,270.8
North East Region,Ang Mo Kio,2018,8,4-room,358.8
North East Region,Ang Mo Kio,2018,8,5-room and Executive,428.5
North East Region,Ang Mo Kio,2018,8,Landed Properties,850.5
North East Region,Ang Mo Kio,2018,8,Private Apartments and Condominiums,482.8
North East Region,Ang Mo Kio,2018,9,1-room / 2-room,163.0
North East Region,Ang Mo Kio,2018,9,3-room,270.3
North East Region,Ang Mo Kio,2018,9,4-room,356.0
North East Region,Ang Mo Kio,2018,9,5-room and Executive,423.5
North East Region,Ang Mo Kio,2018,9,Landed Properties,816.0
North East Region,Ang Mo Kio,2018,9,Private Apartments and Condominiums,489.7
North East Region,Ang Mo Kio,2018,10,1-room / 2-room,167.7
North East Region,Ang Mo Kio,2018,10,3-room,267.7
North East Region,Ang Mo Kio,2018,10,4-room,354.2
North East Region,Ang Mo Kio,2018,10,5-room and Executive,419.1
North East Region,Ang Mo Kio,2018,10,Landed Properties,891.4
North East Region,Ang Mo Kio,2018,10,Private Apartments and Condominiums,520.1
North East Region,Ang Mo Kio,2018,11,1-room / 2-room,158.7
North East Region,Ang Mo Kio,2018,11,3-room,253.7
North East Region,Ang Mo Kio,2018,11,4-room,335.9
North East Region,Ang Mo Kio,2018,11,5-room and Executive,399.7
North East Region,Ang Mo Kio,2018,11,Landed Properties,754.4
North East Region,Ang Mo Kio,2018,11,Private Apartments and Condominiums,422.6
North East Region,Ang Mo Kio,2018,12,1-room / 2-room,158.7
North East Region,Ang Mo Kio,2018,12,3-room,246.4
North East Region,Ang Mo Kio,2018,12,4-room,324.1
North East Region,Ang Mo Kio,2018,12,5-room and Executive,388.2
North East Region,Ang Mo Kio,2018,12,Landed Properties,778.0
North East Region,Ang Mo Kio,2018,12,Private Apartments and Condominiums,438.7
North East Region,Ang Mo Kio,2019,1,1-room / 2-room,154.3
North East Region,Ang Mo Kio,2019,1,3-room,236.6
North East Region,Ang Mo Kio,2019,1,4-room,304.9
North East Region,Ang Mo Kio,2019,1,5-room and Executive,358.0
North East Region,Ang Mo Kio,2019,1,Landed Properties,725.7
North East Region,Ang Mo Kio,2019,1,Private Apartments and Condominiums,415.1
North East Region,Ang Mo Kio,2019,2,1-room / 2-room,153.2
North East Region,Ang Mo Kio,2019,2,3-room,239.8
North East Region,Ang Mo Kio,2019,2,4-room,311.9
North East Region,Ang Mo Kio,2019,2,5-room and Executive,358.1
North East Region,Ang Mo Kio,2019,2,Landed Properties,728.2
North East Region,Ang Mo Kio,2019,2,Private Apartments and Condominiums,406.7
North East Region,Ang Mo Kio,2019,3,1-room / 2-room,142.0
North East Region,Ang Mo Kio,2019,3,3-room,234.3
North East Region,Ang Mo Kio,2019,3,4-room,306.2
North East Region,Ang Mo Kio,2019,3,5-room and Executive,362.1
North East Region,Ang Mo Kio,2019,3,Landed Properties,799.4
North East Region,Ang Mo Kio,2019,3,Private Apartments and Condominiums,457.2
North East Region,Ang Mo Kio,2019,4,1-room / 2-room,166.1
North East Region,Ang Mo Kio,2019,4,3-room,269.7
North East Region,Ang Mo Kio,2019,4,4-room,352.6
North East Region,Ang Mo Kio,2019,4,5-room and Executive,419.5
North East Region,Ang Mo Kio,2019,4,Landed Properties,859.6
North East Region,Ang Mo Kio,2019,4,Private Apartments and Condominiums,490.0
North East Region,Ang Mo Kio,2019,5,1-room / 2-room,168.2
North East Region,Ang Mo Kio,2019,5,3-room,273.9
North East Region,Ang Mo Kio,2019,5,4-room,355.0
North East Region,Ang Mo Kio,2019,5,5-room and Executive,419.6
North East Region,Ang Mo Kio,2019,5,Landed Properties,858.0
North East Region,Ang Mo Kio,2019,5,Private Apartments and Condominiums,508.4
North East Region,Ang Mo Kio,2019,6,1-room / 2-room,174.1
North East Region,Ang Mo Kio,2019,6,3-room,282.1
North East Region,Ang Mo Kio,2019,6,4-room,368.9
North East Region,Ang Mo Kio,2019,6,5-room and Executive,438.9
North East Region,Ang Mo Kio,2019,6,Landed Properties,835.3
North East Region,Ang Mo Kio,2019,6,Private Apartments and Condominiums,513.5
North East Region,Ang Mo Kio,2019,7,1-room / 2-room,165.6
North East Region,Ang Mo Kio,2019,7,3-room,271.9
North East Region,Ang Mo Kio,2019,7,4-room,358.9
North East Region,Ang Mo Kio,2019,7,5-room and Executive,423.2
North East Region,Ang Mo Kio,2019,7,Landed Properties,804.6
North East Region,Ang Mo Kio,2019,7,Private Apartments and Condominiums,468.6
North East Region,Ang Mo Kio,2019,8,1-room / 2-room,176.9
